,walltime,step,Training Loss
0,1644431685.9738812,10.0,-1.2469798020396035
0,1644431703.696584,20.0,-1.5607139946545925
0,1644431720.3785954,30.0,-1.8049385724597329
0,1644431735.2644396,40.0,-2.014414895193564
0,1644431749.6900306,50.0,-2.1617409536681045
0,1644431764.4815855,60.0,-2.4282773280351724
0,1644431778.9355497,70.0,-2.857601564264997
0,1644431793.209798,80.0,-3.7109209259993934
0,1644431809.6612332,90.0,-3.7096804774120957
0,1644431824.662672,100.0,-3.6424176122961742
