,Layer,Unfolded WMMSE,WMMSE Rand. Init,WMMSE MRC Init,WMMSE Best Init
0,0,10.994310372548835,2.2783553020976717,10.994310372548835,2.3645710977901366
1,1,7.469254429997692,17.618174880594143,20.488424814152573,17.987572618662657
2,2,6.426496356220551,27.809796867835622,30.14363795010591,28.845334586050672
3,3,8.757448590864609,36.76882566775534,39.05227951884299,37.846670358897995
4,4,10.968636854146137,41.558387554977074,44.099937082883216,42.59089413122625
5,5,5.943100188683564,43.67677210048781,46.32380007430264,45.09073605317322
6,6,4.969519828064745,44.738819414355135,47.36374913336435,46.55470347440341
7,7,4.328145895561564,45.41335276535002,47.93172069348352,47.46742014574876
